tensor([96.7720], device='cuda:0')
tensor([95.3817], device='cuda:0')
tensor([97.5865], device='cuda:0')
tensor([96.3946], device='cuda:0')
tensor([93.7017], device='cuda:0')
tensor([94.7542], device='cuda:0')
tensor([95.6228], device='cuda:0')
tensor([94.5467], device='cuda:0')
tensor([95.6712], device='cuda:0')
tensor([95.2654], device='cuda:0')
tensor([96.6396], device='cuda:0')
tensor([95.5195], device='cuda:0')
tensor([96.2660], device='cuda:0')
tensor([97.1660], device='cuda:0')
tensor([95.3023], device='cuda:0')
tensor([95.0820], device='cuda:0')
tensor([94.6102], device='cuda:0')
tensor([97.8898], device='cuda:0')
tensor([97.8838], device='cuda:0')
tensor([96.8803], device='cuda:0')
tensor([97.5856], device='cuda:0')
tensor([92.2257], device='cuda:0')
tensor([97.3146], device='cuda:0')
tensor([96.6632], device='cuda:0')
tensor([97.4109], device='cuda:0')
tensor([96.1779], device='cuda:0')
tensor([96.6944], device='cuda:0')
tensor([98.0034], device='cuda:0')
tensor([95.6552], device='cuda:0')
tensor([96.1931], device='cuda:0')
tensor([96.6160], device='cuda:0')
tensor([98.8537], device='cuda:0')
tensor([94.3280], device='cuda:0')
tensor([97.3048], device='cuda:0')
tensor([96.6708], device='cuda:0')
tensor([97.5511], device='cuda:0')
tensor([94.7255], device='cuda:0')
tensor([97.5541], device='cuda:0')
tensor([97.1354], device='cuda:0')
tensor([94.3199], device='cuda:0')
tensor([96.1956], device='cuda:0')
tensor([98.1872], device='cuda:0')
tensor([97.5493], device='cuda:0')
tensor([97.4702], device='cuda:0')
tensor([96.6995], device='cuda:0')
tensor([97.8656], device='cuda:0')
tensor([97.5054], device='cuda:0')
tensor([94.1161], device='cuda:0')
tensor([96.8126], device='cuda:0')
tensor([95.0456], device='cuda:0')
tensor([98.5679], device='cuda:0')
tensor([97.7176], device='cuda:0')
tensor([92.2370], device='cuda:0')
tensor([96.5945], device='cuda:0')
tensor([96.8700], device='cuda:0')
tensor([92.9492], device='cuda:0')
tensor([95.0755], device='cuda:0')
tensor([97.5800], device='cuda:0')
tensor([97.5141], device='cuda:0')
tensor([96.8647], device='cuda:0')
tensor([95.5852], device='cuda:0')
tensor([95.3185], device='cuda:0')
tensor([94.8567], device='cuda:0')
tensor([94.8856], device='cuda:0')
tensor([97.4033], device='cuda:0')
tensor([92.4872], device='cuda:0')
tensor([93.3479], device='cuda:0')
tensor([95.6114], device='cuda:0')
tensor([96.7965], device='cuda:0')
tensor([96.8239], device='cuda:0')
tensor([95.9864], device='cuda:0')
tensor([96.4254], device='cuda:0')
tensor([97.7397], device='cuda:0')
tensor([96.4307], device='cuda:0')
tensor([96.3070], device='cuda:0')
tensor([97.5285], device='cuda:0')
tensor([96.1286], device='cuda:0')
tensor([93.8300], device='cuda:0')
tensor([94.6417], device='cuda:0')
tensor([96.7570], device='cuda:0')
tensor([98.0037], device='cuda:0')
tensor([93.7612], device='cuda:0')
tensor([96.4089], device='cuda:0')
tensor([95.9172], device='cuda:0')
tensor([95.1645], device='cuda:0')
tensor([97.0147], device='cuda:0')
tensor([98.4956], device='cuda:0')
tensor([97.7640], device='cuda:0')
tensor([95.8887], device='cuda:0')
tensor([96.0814], device='cuda:0')
tensor([97.7878], device='cuda:0')
tensor([97.3933], device='cuda:0')
tensor([95.3783], device='cuda:0')
tensor([95.4382], device='cuda:0')
tensor([98.7940], device='cuda:0')
tensor([97.1763], device='cuda:0')
tensor([95.9777], device='cuda:0')
tensor([94.3206], device='cuda:0')
tensor([95.2543], device='cuda:0')
tensor([95.9428], device='cuda:0')
tensor([97.3135], device='cuda:0')
tensor([96.0225], device='cuda:0')
tensor([95.8445], device='cuda:0')
tensor([95.6381], device='cuda:0')
tensor([96.0801], device='cuda:0')
tensor([94.1347], device='cuda:0')
tensor([98.6506], device='cuda:0')
tensor([95.8211], device='cuda:0')
tensor([98.7526], device='cuda:0')
tensor([94.8760], device='cuda:0')
tensor([97.8652], device='cuda:0')
tensor([97.4539], device='cuda:0')
tensor([98.9096], device='cuda:0')
tensor([96.3402], device='cuda:0')
tensor([92.5384], device='cuda:0')
tensor([98.6175], device='cuda:0')
tensor([92.2299], device='cuda:0')
tensor([97.2157], device='cuda:0')
tensor([96.0553], device='cuda:0')
tensor([96.3052], device='cuda:0')
tensor([97.6663], device='cuda:0')
tensor([97.4654], device='cuda:0')
tensor([96.8908], device='cuda:0')
tensor([97.0420], device='cuda:0')
tensor([97.7179], device='cuda:0')
tensor([94.6646], device='cuda:0')
tensor([96.2275], device='cuda:0')
tensor([96.0779], device='cuda:0')
tensor([95.3037], device='cuda:0')
tensor([97.8481], device='cuda:0')
tensor([97.8786], device='cuda:0')
tensor([98.1919], device='cuda:0')
tensor([97.0335], device='cuda:0')
tensor([96.0960], device='cuda:0')
tensor([95.5911], device='cuda:0')
tensor([97.0013], device='cuda:0')
tensor([95.1688], device='cuda:0')
tensor([97.6264], device='cuda:0')
tensor([97.6013], device='cuda:0')
tensor([97.7464], device='cuda:0')
tensor([90.4052], device='cuda:0')
tensor([98.0415], device='cuda:0')
tensor([97.2796], device='cuda:0')
tensor([97.0617], device='cuda:0')
tensor([95.8498], device='cuda:0')
tensor([95.7045], device='cuda:0')
tensor([95.8683], device='cuda:0')
tensor([97.0283], device='cuda:0')
tensor([97.3222], device='cuda:0')
tensor([95.7391], device='cuda:0')
tensor([95.5605], device='cuda:0')
tensor([96.3773], device='cuda:0')
tensor([95.8558], device='cuda:0')
tensor([93.1491], device='cuda:0')
tensor([95.3201], device='cuda:0')
tensor([97.1350], device='cuda:0')
tensor([97.8110], device='cuda:0')
tensor([93.4570], device='cuda:0')
tensor([94.7011], device='cuda:0')
